,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIRAB TAB,ACTIRAB TAB,5,Strip,1,37.71,1885.5,37.71,1885.5,Sales - LG,Main - LG,ACTIRAB TAB,AT6059,50,Strip,50,1885.5,1885.5,Cost of Goods Sold - LG,Stores - LG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LYCOREST 60ml SUSP,LYCOREST 60ml SUSP,20,Bottle,1,35.66,7132,35.66,7132,Sales - LG,Main - LG,LYCOREST 60ml SUSP,AL6061,200,Bottle,200,7132,7132,Cost of Goods Sold - LG,Stores - LG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMPOWER - OD TAB,EMPOWER - OD TAB,0,Strip,1,72,3600,72,3600,Sales - LG,Main - LG,EMPOWER - OD TAB,FT-001,50,Strip,50,3600,3600,Cost of Goods Sold - LG,Stores - LG
,"""Pre-SI-0000000005""",2000000005,10/03/2016,Pre-SI-,Lysten Global,12/03/2016 0:00,1,INR,Standard Selling,INR,1,20582.3,21611,21611,Debtors - LG,Ship/00004,Aher Medical Agencies,Aher Medical Agencies,12/03/2016 0:00,1,20582.3,20582.3,20582.3,Sales Invoice Prev ERP Tax,,Actual,VAT/CST PREV ERP - LG,TAX,Main - LG,0,1029.115,20582.3,1029.115,1029.115,20582.3,1029.115,,REGAIN - XT TAB,REGAIN - XT TAB,0,Strip,1,43.89,2194.5,43.89,2194.5,Sales - LG,Main - LG,REGAIN - XT TAB,AT6037,50,Strip,50,2194.5,2194.5,Cost of Goods Sold - LG,Stores - LG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIRAB TAB,ACTIRAB TAB,5,Strip,1,37.71,1885.5,37.71,1885.5,Sales - LG,Main - LG,ACTIRAB TAB,AT6059,50,Strip,50,1885.5,1885.5,Cost of Goods Sold - LG,Stores - LG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LYCORT 1 ml INJ,LYCORT 1 ml INJ,20,Vial,1,61.71,6171,61.71,6171,Sales - LG,Main - LG,LYCORT 1 ml INJ,LTA-137,100,Vial,100,6171,6171,Cost of Goods Sold - LG,Stores - LG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LYCOREST 60ml SUSP,LYCOREST 60ml SUSP,5,Bottle,1,35.66,1783,35.66,1783,Sales - LG,Main - LG,LYCOREST 60ml SUSP,AL6061,50,Bottle,50,1783,1783,Cost of Goods Sold - LG,Stores - LG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEN-ON 30 ml SYRUP,TEN-ON 30 ml SYRUP,0,Bottle,1,26.06,781.8,26.06,781.8,Sales - LG,Main - LG,TEN-ON 30 ml SYRUP,AL6060,30,Bottle,30,781.8,781.8,Cost of Goods Sold - LG,Stores - LG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LYCOREST TAB,LYCOREST TAB,20,Strip,1,24,4800,24,4800,Sales - LG,Main - LG,LYCOREST TAB,AT6089,200,Strip,200,4800,4800,Cost of Goods Sold - LG,Stores - LG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STAND - MF 60ml SUSP,STAND - MF 60ml SUSP,0,Bottle,1,18.17,908.5,18.17,908.5,Sales - LG,Main - LG,STAND - MF 60ml SUSP,AL6053,50,Bottle,50,908.5,908.5,Cost of Goods Sold - LG,Stores - LG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIRAB - L CAP,ACTIRAB - L CAP,0,Strip,1,102.9,2058,102.9,2058,Sales - LG,Main - LG,ACTIRAB - L CAP,AC6031,20,Strip,20,2058,2058,Cost of Goods Sold - LG,Stores - LG
,"""Pre-SI-0000000006""",2000000006,12/03/2016,Pre-SI-,Lysten Global,12/03/2016 0:00,1,INR,Standard Selling,INR,1,5314.5,5850,5850,Debtors - LG,Ship/00004,Aher Medical Agencies,Aher Medical Agencies,12/03/2016 0:00,1,5314.5,5314.5,5314.5,Sales Invoice Prev ERP Tax,,Actual,VAT/CST PREV ERP - LG,TAX,Main - LG,0,535.725,5314.5,535.725,535.725,5314.5,535.725,,EMPOWER - OD TAB,EMPOWER - OD TAB,0,Strip,1,72,3600,72,3600,Sales - LG,Main - LG,EMPOWER - OD TAB,FT-001,50,Strip,50,3600,3600,Cost of Goods Sold - LG,Stores - LG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GLUCOLYST -G1 TAB,GLUCOLYST -G1 TAB,0,Strip,1,34.29,1714.5,34.29,1714.5,Sales - LG,Main - LG,GLUCOLYST -G1 TAB,AT6060,50,Strip,50,1714.5,1714.5,Cost of Goods Sold - LG,Stores - LG
,"""Pre-SI-0000000007""",2000000007,12/03/2016,Pre-SI-,Lysten Global,12/03/2016 0:00,1,INR,Standard Selling,INR,1,26089.2,27556,27556,Debtors - LG,Ship/00004,Saraswati Medical & General Stores,Saraswati Medical & General Stores,12/03/2016 0:00,1,26089.2,26089.2,26089.2,Sales Invoice Prev ERP Tax,,Actual,VAT/CST PREV ERP - LG,TAX,Main - LG,0,1466.46,26089.2,1466.46,1466.46,26089.2,1466.46,,GLUCOLYST -G1 TAB,GLUCOLYST -G1 TAB,0,Strip,1,34.29,1028.7,34.29,1028.7,Sales - LG,Main - LG,GLUCOLYST -G1 TAB,AT6060,30,Strip,30,1028.7,1028.7,Cost of Goods Sold - LG,Stores - LG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEN-ON 30 ml SYRUP,TEN-ON 30 ml SYRUP,0,Bottle,1,26.06,1303,26.06,1303,Sales - LG,Main - LG,TEN-ON 30 ml SYRUP,AL6060,50,Bottle,50,1303,1303,Cost of Goods Sold - LG,Stores - LG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REGAIN - XT TAB,REGAIN - XT TAB,0,Strip,1,43.89,1316.7,43.89,1316.7,Sales - LG,Main - LG,REGAIN - XT TAB,AT6037,30,Strip,30,1316.7,1316.7,Cost of Goods Sold - LG,Stores - LG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIRAB - L CAP,ACTIRAB - L CAP,0,Strip,1,102.9,3087,102.9,3087,Sales - LG,Main - LG,ACTIRAB - L CAP,AC6031,30,Strip,30,3087,3087,Cost of Goods Sold - LG,Stores - LG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMPOWER - OD TAB,EMPOWER - OD TAB,0,Strip,1,72,2160,72,2160,Sales - LG,Main - LG,EMPOWER - OD TAB,FT-001,30,Strip,30,2160,2160,Cost of Goods Sold - LG,Stores - LG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIRAB TAB,ACTIRAB TAB,3,Strip,1,37.71,1131.3,37.71,1131.3,Sales - LG,Main - LG,ACTIRAB TAB,AT6059,30,Strip,30,1131.3,1131.3,Cost of Goods Sold - LG,Stores - LG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LYCOREST 60ml SUSP,LYCOREST 60ml SUSP,5,Bottle,1,35.66,1783,35.66,1783,Sales - LG,Main - LG,LYCOREST 60ml SUSP,AL6061,50,Bottle,50,1783,1783,Cost of Goods Sold - LG,Stores - LG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LYCOREST TAB,LYCOREST TAB,30,Strip,1,24,7200,24,7200,Sales - LG,Main - LG,LYCOREST TAB,AT6089,300,Strip,300,7200,7200,Cost of Goods Sold - LG,Stores - LG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LYCORT 1 ml INJ,LYCORT 1 ml INJ,20,Vial,1,61.71,6171,61.71,6171,Sales - LG,Main - LG,LYCORT 1 ml INJ,LTA-137,100,Vial,100,6171,6171,Cost of Goods Sold - LG,Stores - LG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STAND - MF 60ml SUSP,STAND - MF 60ml SUSP,0,Bottle,1,18.17,908.5,18.17,908.5,Sales - LG,Main - LG,STAND - MF 60ml SUSP,AL6053,50,Bottle,50,908.5,908.5,Cost of Goods Sold - LG,Stores - LG
,"""Pre-SI-0000000009""",2000000009,12/03/2016,Pre-SI-,Lysten Global,12/03/2016 0:00,1,INR,Standard Selling,INR,1,30854.7,32667,32667,Debtors - LG,Ship/00004,Life Care Pharma,Life Care Pharma,12/03/2016 0:00,1,30854.7,30854.7,30854.7,Sales Invoice Prev ERP Tax,,Actual,VAT/CST PREV ERP - LG,TAX,Main - LG,0,1812.735,30854.7,1812.735,1812.735,30854.7,1812.735,,ACTIRAB TAB,ACTIRAB TAB,10,Strip,1,37.71,3771,37.71,3771,Sales - LG,Main - LG,ACTIRAB TAB,AT6059,100,Strip,100,3771,3771,Cost of Goods Sold - LG,Stores - LG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LYCORT 1 ml INJ,LYCORT 1 ml INJ,20,Vial,1,61.71,6171,61.71,6171,Sales - LG,Main - LG,LYCORT 1 ml INJ,LTA-137,100,Vial,100,6171,6171,Cost of Goods Sold - LG,Stores - LG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMPOWER - OD TAB,EMPOWER - OD TAB,0,Strip,1,72,3600,72,3600,Sales - LG,Main - LG,EMPOWER - OD TAB,FT-001,50,Strip,50,3600,3600,Cost of Goods Sold - LG,Stores - LG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GLUCOLYST -G1 TAB,GLUCOLYST -G1 TAB,0,Strip,1,34.29,1714.5,34.29,1714.5,Sales - LG,Main - LG,GLUCOLYST -G1 TAB,AT6060,50,Strip,50,1714.5,1714.5,Cost of Goods Sold - LG,Stores - LG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LYCOREST 60ml SUSP,LYCOREST 60ml SUSP,5,Bottle,1,35.66,1783,35.66,1783,Sales - LG,Main - LG,LYCOREST 60ml SUSP,AL6061,50,Bottle,50,1783,1783,Cost of Goods Sold - LG,Stores - LG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REGAIN - XT TAB,REGAIN - XT TAB,0,Strip,1,43.89,1316.7,43.89,1316.7,Sales - LG,Main - LG,REGAIN - XT TAB,AT6037,30,Strip,30,1316.7,1316.7,Cost of Goods Sold - LG,Stores - LG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEN-ON 30 ml SYRUP,TEN-ON 30 ml SYRUP,0,Bottle,1,26.06,1303,26.06,1303,Sales - LG,Main - LG,TEN-ON 30 ml SYRUP,AL6060,50,Bottle,50,1303,1303,Cost of Goods Sold - LG,Stores - LG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIRAB - L CAP,ACTIRAB - L CAP,0,Strip,1,102.9,3087,102.9,3087,Sales - LG,Main - LG,ACTIRAB - L CAP,AC6031,30,Strip,30,3087,3087,Cost of Goods Sold - LG,Stores - LG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LYCOREST TAB,LYCOREST TAB,30,Strip,1,24,7200,24,7200,Sales - LG,Main - LG,LYCOREST TAB,AT6089,300,Strip,300,7200,7200,Cost of Goods Sold - LG,Stores - LG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STAND - MF 60ml SUSP,STAND - MF 60ml SUSP,0,Bottle,1,18.17,908.5,18.17,908.5,Sales - LG,Main - LG,STAND - MF 60ml SUSP,AL6053,50,Bottle,50,908.5,908.5,Cost of Goods Sold - LG,Stores - LG
,"""Pre-SI-0000000010""",2000000010,12/03/2016,Pre-SI-,Lysten Global,12/03/2016 0:00,1,INR,Standard Selling,INR,1,82460,87123,87123,Debtors - LG,Ship/00004,Drug Distributor,Drug Distributor,12/03/2016 0:00,1,82460,82460,82460,Sales Invoice Prev ERP Tax,,Actual,VAT/CST PREV ERP - LG,TAX,Main - LG,0,4663,82460,4663,4663,82460,4663,,LYCORT 1 ml INJ,LYCORT 1 ml INJ,100,Vial,1,61.71,30855,61.71,30855,Sales - LG,Main - LG,LYCORT 1 ml INJ,LTA-137,500,Vial,500,30855,30855,Cost of Goods Sold - LG,Stores - LG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMPOWER - OD TAB,EMPOWER - OD TAB,0,Strip,1,72,7200,72,7200,Sales - LG,Main - LG,EMPOWER - OD TAB,FT-001,100,Strip,100,7200,7200,Cost of Goods Sold - LG,Stores - LG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REGAIN - XT TAB,REGAIN - XT TAB,0,Strip,1,43.89,4389,43.89,4389,Sales - LG,Main - LG,REGAIN - XT TAB,AT6037,100,Strip,100,4389,4389,Cost of Goods Sold - LG,Stores - LG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LYCOREST TAB,LYCOREST TAB,30,Strip,1,24,7200,24,7200,Sales - LG,Main - LG,LYCOREST TAB,AT6089,300,Strip,300,7200,7200,Cost of Goods Sold - LG,Stores - LG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIRAB - L CAP,ACTIRAB - L CAP,0,Strip,1,102.9,10290,102.9,10290,Sales - LG,Main - LG,ACTIRAB - L CAP,AC6031,100,Strip,100,10290,10290,Cost of Goods Sold - LG,Stores - LG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIRAB TAB,ACTIRAB TAB,20,Strip,1,37.71,7542,37.71,7542,Sales - LG,Main - LG,ACTIRAB TAB,AT6059,200,Strip,200,7542,7542,Cost of Goods Sold - LG,Stores - LG
